Domain,URL,Category,Sub-Entity / Journal,Audience,Authority Tier,Relationship Type,Submission / Contribution Pathway,Target HVACLogic Asset,Pitch Angle / Technical Context,Citation / Link Potential,Link Status / Verification,Priority,Status,Notes
hpac.com,https://www.hpac.com,Trade Publication,HPAC Engineering,Commercial Mechanical Contractors & Facility Engineers,A,Editorial / Application Article,Submit technical application article on hydronic boiler sizing,https://hvaclogic.org/calculators/boiler-size-calculator,Avoiding condensing boiler short-cycling: Why baseboard water temperatures dictate true AFUE,Editorial trade feature & mechanical engineer readership,Unpublished / Target,A,Identified,Heating/Piping/Air Conditioning Engineering Magazine
csemag.com,https://www.csemag.com,Trade Publication,Consulting-Specifying Engineer,Commercial Mechanical & Electrical Engineers,A,Editorial / Engineering Feature,Submit technical engineering guide to Content Manager,https://hvaclogic.org/calculators/ductulator,Hydrodynamic duct friction loss and dynamic acoustic velocity limits in commercial VAV systems,High-authority engineering editorial link,Unpublished / Target,A,Identified,Premier commercial MEP engineering publication
mechanical-hub.com,https://mechanical-hub.com,Trade Publication / Media,Mechanical Hub,Plumbing, Heating & Hydronic Contractors,B,Editorial / Tool Feature,Submit video/tool walkthrough to Mechanical Hub team,https://hvaclogic.org/calculators/boiler-size-calculator,Sizing residential hydronic heating loops and indirect DHW priority without guesswork,Contractor community feature & referral traffic,Unpublished / Target,B,Identified,Active digital contractor portal
rses.org,https://www.rses.org/rsesjournal.aspx,Professional Association,RSES Journal,Refrigeration Service Technicians & Educators,A,Editorial / Educational Article,Submit technical education article to RSES Journal Editor,https://hvaclogic.org/calculators/superheat-subcooling-calculator,Diagnosing fixed-orifice vs TXV systems under A2L transition guidelines,Formal association journal publication & technician training reach,Unpublished / Target,A,Identified,Official publication of the Refrigeration Service Engineers Society
asme.org,https://www.asme.org,Engineering Society,American Society of Mechanical Engineers (ASME),Mechanical Engineers & Academic Researchers,A+,Research / Conference Submission,Submit paper to ASME International Mechanical Engineering Congress (IMECE),https://hvaclogic.org/research/non-linear-duct-friction-loss-fitting-penalties,Non-linear Darcy-Weisbach friction dynamics and equivalent length fitting losses in turbulent conduit flow,Permanent ASME Digital Collection indexation & citations,Unpublished / Target,A+,Identified,Leading global mechanical engineering society
asee.org,https://www.asee.org,Educational Organization,American Society for Engineering Education (ASEE),Mechanical Engineering Educators & Faculty,A+,Educational Paper / Conference,Submit curriculum paper to ASEE Annual Conference (Mechanical Engineering Division),https://hvaclogic.org/oer-modules/duct-aerodynamics-lab.html,Open-access deterministic simulation courseware for undergraduate thermodynamics and fluid mechanics laboratories,Permanent ASEE PEER repository indexation & university adoption,Unpublished / Target,A+,Identified,Foremost organization for engineering education in the US
oercommons.org,https://www.oercommons.org,OER Repository,OER Commons (Open Author),Higher Ed STEM Educators & Vocational Instructors,A,Educational / Courseware Deposit,Direct lesson module creation via Open Author platform,https://hvaclogic.org/oer-modules/duct-aerodynamics-lab.html,Interactive laboratory exercise in fluid dynamics and ACCA Manual D duct sizing,Permanent OER catalog indexation & .org/.edu backlinks,VERIFIED LIVE (Lesson 147416),A,Active,Public open educational resources repository (Lesson published 2026-09-16)
merlot.org,https://www.merlot.org,OER Repository,MERLOT (California State University),University Faculty & STEM Instructors,A,Educational / Learning Object Catalog,Direct submission to MERLOT Engineering Editorial Board,https://hvaclogic.org/calculators/psychrometric-calculator,Interactive psychrometric chart and thermodynamic moist air simulation workbench,Permanent MERLOT catalog listing & academic evaluation,VERIFIED LIVE (ID 824240154),A,Active,Global higher education learning object repository
figshare.com,https://figshare.com,Open Data Repository,Figshare Academic Repository,Open Science Researchers & Academic Authors,A+,Open Science Dataset / DOI,Direct dataset deposit with full metadata and CC BY 4.0 license,https://hvaclogic.org/research/cold-climate-heat-pump-balance-point-lab,Benchmark heat pump COP derating and psychrometric datasets with permanent DataCite DOIs,Permanent DataCite DOI indexation & academic citation network,VERIFIED LIVE (DOIs active),A+,Active,Certified global open-access scientific data repository
ssrn.com,https://papers.ssrn.com,Academic Preprints,SSRN (Elsevier),Applied Science & Energy Economists,A+,Academic Working Paper / Crossref DOI,Direct working paper submission to SSRN Energy & Engineering eJournals,https://hvaclogic.org/research/ashrae-hyland-wexler-moist-air-psychrometrics,Thermodynamic formulations of ASHRAE Hyland-Wexler moist air psychrometrics,Permanent Crossref DOI (10.2139/ssrn.7430738) & Elsevier Scopus visibility,VERIFIED LIVE (DOI active),A+,Active,Leading open-access scholarly preprint network
huggingface.co,https://huggingface.co,Open Data / ML Repository,Hugging Face Datasets,Data Scientists & Energy Modeler Community,A,Dataset / Model Repository,Dataset repository creation with complete dataset card and column dictionary,https://hvaclogic.org/research/student-lab-building-envelope-thermal-transmission,Building envelope thermal transmission and combustion air benchmark matrices with minted DOIs,DataCite DOIs (10.57967/hf/*) & AI/ML community adoption,VERIFIED LIVE (DOIs active),A,Active,Premier global machine learning and dataset repository
academia.edu,https://www.academia.edu,Academic Network,Academia.edu Open Research,Global Researchers & Mechanical Engineers,A+,Academic Preprints & Monographs,Technical report PDF upload with institutional attribution and citation metadata,https://hvaclogic.org/research,Deterministic building science and thermodynamic modeling monograph series,Academic discovery network & researcher citation alerts (DA 93),VERIFIED LIVE (8 papers active),A+,Active,Global academic repository network
archive.org,https://archive.org,Digital Library / Archive,Internet Archive Open Library,Global Public & Digital Archivists,A,Permanent Archival Deposit,PDF monograph deposit with complete Marc21 metadata and CC license,https://hvaclogic.org/papers/HVACLogic_Deterministic_Building_Science_Whitepaper.pdf,Permanent archival copy of HVACLogic building science monographs and lab manuals,Permanent digital preservation & high DA (96) indexation,VERIFIED LIVE (Mirrors active),A,Active,Universal digital library and archive
bibsonomy.org,https://www.bibsonomy.org,Academic Bookmarks,BibSonomy (University of Kassel / University of Würzburg),Academic Researchers & Computer Scientists,B,Academic Bookmark / BibTeX Index,Structured BibTeX and URL bookmark submission with publication tags,https://hvaclogic.org,HVACLogic academic monograph series, benchmark datasets, and interactive simulation tools,Scholarly citation discovery & German university link graph (DA 74),VERIFIED LIVE (Profile active),B,Active,Academic social bookmarking and publication management system
